Shipment_ID,LR_Number,Transport_Company,Vehicle_Number,Driver_Name,Origin,Destination,Dispatch_Date,Material,Package_Count,Weight_KG,Charged_Weight,Freight,Loading_Charges,Unloading_Charges,Total_LR_Amount
S1124,LR-58712,PrimeRoute Carriers,MH12DF4782,Ashok,Mumbai,Nashik,2024-01-24,Construction Material,72,2750.3,2845.61,13344,702,511,14557
S1125,LR-52589,FastCargo,MH12DG1091,Dinesh,Nanded,Wardha,2024-02-15,Automotive Parts,93,3267.51,3364.78,14828,792,757,16377
S1126,LR-74645,BlueLine Transport,MH12EG7624,Prakash,Pune,Mumbai,2024-01-12,Construction Material,120,4708.6,4784.27,21870,283,583,22736
S1127,LR-35349,FastCargo,MH12HE6577,Sanjay,Pune,Mumbai,2024-02-03,Construction Material,120,3414.98,3514.63,14453,681,228,15362
S1128,LR-62458,BlueLine Transport,MH12GB5851,Ashok,Ratnagiri,Yavatmal,2024-02-23,Pharmaceuticals,39,1409.17,1463.65,6861,520,421,7802
S1129,LR-15910,FastCargo,MH12EA3215,Ganesh,Dhule,Kolhapur,2024-02-16,Consumer Goods,36,952.05,966.71,5757,796,233,6786
S1130,LR-70793,FastCargo,MH12CC8091,Shankar,Pune,Nashik,2024-03-05,Food Products,87,3068.31,3143.92,20317,586,652,21555
S1131,LR-37278,RapidHaul Logistics,MH12HH4666,Santosh,Sangli,Mumbai,2024-02-01,Electronics,56,1683.96,1796.85,8909,406,629,9944
S1132,LR-11296,ABC_Logistics,MH12BH5026,Santosh,Sangli,Wardha,2024-02-01,Electronics,78,1463.68,1516.81,9638,494,763,10895
S1133,LR-50926,FastCargo,MH12BE6581,Rakesh,Ratnagiri,Yavatmal,2024-02-07,Consumer Goods,120,4884.1,4926.98,33785,654,629,35068
S1134,LR-99743,BlueLine Transport,MH12CB7365,Prakash,Nashik,Gondia,2024-02-25,Chemical Drums,79,2665.81,2666.29,11795,375,641,12811
S1135,LR-71369,RapidHaul Logistics,MH12CD2789,Balaji,Pune,Nashik,2024-02-16,Textiles,39,1203.47,1279.11,6874,288,362,7524
S1136,LR-70152,ABC_Logistics,MH12EE9594,Shankar,Nagpur,Pune,2024-03-07,Textiles,108,2742.84,2805.89,14042,579,545,15166
S1137,LR-25370,MetroCargo Logistics,MH12AB5138,Pravin,Nagpur,Pune,2024-02-23,Pharmaceuticals,120,3033.2,3066.69,17650,574,414,18638
S1138,LR-95141,PrimeRoute Carriers,MH12CG4815,Sanjay,Aurangabad,Sangli,2024-02-13,Machinery,120,4808.04,4898.38,28311,376,382,29069
S1139,LR-50056,FastCargo,MH12DB6696,Deepak,Mumbai,Nashik,2024-01-18,Consumer Goods,69,2692.35,2737.54,12556,213,722,13491
S1140,LR-28574,ABC_Logistics,MH12EE8201,Santosh,Nagpur,Pune,2024-02-18,Consumer Goods,94,2295.32,2357.93,9445,666,555,10666
S1141,LR-44613,FastCargo,MH12BH4235,Ganesh,Satara,Sindhudurg,2024-01-01,Construction Material,97,3224.86,3254.55,20438,492,626,21556
S1142,LR-94297,BlueLine Transport,MH12BC5011,Naresh,Pune,Mumbai,2024-01-20,Construction Material,120,4450.03,4461.69,29454,765,749,30968
S1143,LR-85447,FastCargo,MH12BC1509,Pravin,Nagpur,Amravati,2024-03-11,Pharmaceuticals,112,2386.04,2419.19,16190,491,539,17220
S1144,LR-69730,FastCargo,MH12CA8719,Sunil,Amravati,Latur,2024-02-13,Chemical Drums,120,3361.28,3840.19,22031,532,346,22909
S1145,LR-73830,ABC_Logistics,MH12HA4428,Ajay,Jalgaon,Latur,2024-01-04,Textiles,102,1882.79,1956.49,12911,700,656,14267
S1146,LR-59209,ExpressHaul Pvt Ltd,MH12DA9641,Vinod,Amravati,Latur,2024-01-07,Construction Material,40,1260.41,1270.28,6964,560,250,7774
S1147,LR-60085,BlueLine Transport,MH12HH4777,Dinesh,Pune,Mumbai,2024-02-20,Machinery,70,1557.67,1620.4,8170,596,511,9277
S1148,LR-16553,PrimeRoute Carriers,MH12GE9327,Kiran,Mumbai,Kolhapur,2024-02-09,Textiles,120,4182.88,4295.72,21228,664,626,22518
S1149,LR-44805,ExpressHaul Pvt Ltd,MH12GC8237,Santosh,Nagpur,Pune,2024-01-19,Textiles,120,4404.59,5003.98,26186,407,408,27001
S1150,LR-47540,FastCargo,MH12GH8039,Ramesh,Pune,Nashik,2024-02-22,Consumer Goods,120,2831.72,2888.05,17128,425,752,18305
S1151,LR-36872,BlueLine Transport,MH12GD3240,Vijay,Nagpur,Pune,2024-01-08,Consumer Goods,113,3954.16,4099.42,18704,788,359,19851
S1152,LR-30526,FastCargo,MH12CG6782,Mahesh,Mumbai,Aurangabad,2024-01-12,Automotive Parts,120,4020.25,4067.82,24058,689,749,25496
S1153,LR-68375,BlueLine Transport,MH12HC6538,Balaji,Sindhudurg,Chandrapur,2024-02-29,Construction Material,120,3175.09,3186.22,14616,523,684,15823
S1154,LR-18798,ABC_Logistics,MH12FH5332,Prakash,Bhandara,Solapur,2024-01-25,Steel Coils,70,2512.07,2516.28,12127,459,660,13246
S1155,LR-53057,ABC_Logistics,MH12GA8233,Amit,Pune,Kolhapur,2024-01-23,Consumer Goods,69,2261.12,2371.46,14596,277,344,15217
S1156,LR-87200,PrimeRoute Carriers,MH12DD7156,Kiran,Ratnagiri,Beed,2024-01-25,Plastic Granules,120,3896.17,3982.2,21652,587,337,22576
S1157,LR-24264,FastCargo,MH12CD4844,Ganesh,Mumbai,Solapur,2024-03-05,Plastic Granules,120,3657.37,3765.65,17175,647,568,18390
S1158,LR-39231,UrbanMove Logistics,MH12AG1730,Manoj,Jalgaon,Kolhapur,2024-01-15,Electronics,44,1438.1,1476.45,8519,254,281,9054
S1159,LR-88623,FastCargo,MH12GD3269,Amit,Bhandara,Nanded,2024-02-08,Pharmaceuticals,106,3247.49,3396.68,22382,510,752,23644
S1160,LR-28302,MetroCargo Logistics,MH12BF2438,Sanjay,Mumbai,Nashik,2024-02-12,Textiles,76,3075.97,3117.81,17654,653,516,18823
S1161,LR-75441,FastCargo,MH12EG2681,Kiran,Solapur,Mumbai,2024-01-17,Machinery,120,4674.38,4810.26,27598,595,305,28498
S1162,LR-25065,FastCargo,MH12GA9580,Deepak,Jalgaon,Pune,2024-01-15,Automotive Parts,120,3760.65,3830.62,18930,792,498,20220
S1163,LR-31717,FastCargo,MH12EE3523,Nitin,Amravati,Latur,2024-02-21,Plastic Granules,50,1338.73,1384.45,6933,690,303,7926
S1164,LR-91997,ExpressHaul Pvt Ltd,MH12DE3440,Rajesh,Mumbai,Nashik,2024-01-04,Plastic Granules,89,2737.52,2858.68,15365,518,266,16149
S1165,LR-11352,RapidHaul Logistics,MH12AH1122,Shankar,Mumbai,Aurangabad,2024-02-11,Construction Material,110,2555.19,2582.83,12493,212,383,13088
S1166,LR-31520,UrbanMove Logistics,MH12HG9573,Rajesh,Pune,Nashik,2024-02-12,Chemical Drums,120,3931.2,4031.25,17992,614,698,19304
S1167,LR-55378,ABC_Logistics,MH12DD6833,Amit,Satara,Amravati,2024-03-02,Consumer Goods,38,856.14,885.73,5961,565,411,6937
S1168,LR-28820,BlueLine Transport,MH12HF3907,Manoj,Jalgaon,Solapur,2024-02-05,Plastic Granules,84,3270.15,3406.33,14565,443,569,15577
S1169,LR-78131,BlueLine Transport,MH12AA3824,Amit,Pune,Nashik,2024-02-10,Electronics,120,4439.17,4581.35,26572,576,632,27780
S1170,LR-14744,FastCargo,MH12AC1793,Pravin,Bhandara,Ratnagiri,2024-01-04,Pharmaceuticals,70,1784.86,1838.87,12214,455,367,13036
S1171,LR-43746,FastCargo,MH12FF5350,Mahesh,Wardha,Nashik,2024-01-10,Construction Material,68,2653.03,2777.87,16417,675,659,17751
S1172,LR-39289,FastCargo,MH12DD2394,Mahendra,Mumbai,Nashik,2024-01-02,Pharmaceuticals,120,4805.47,4952.58,21145,545,436,22126
S1173,LR-38796,RapidHaul Logistics,MH12GD6499,Sandeep,Nagpur,Latur,2024-01-12,Construction Material,50,2226.73,2351.48,9777,654,556,10987
S1174,LR-94969,RapidHaul Logistics,MH12DH2891,Nitin,Amravati,Yavatmal,2024-01-20,Electronics,120,4104.57,4219.8,23595,275,799,24669
S1175,LR-35268,ABC_Logistics,MH12DB9302,Pravin,Nagpur,Pune,2024-01-04,Chemical Drums,120,2305.11,2335.6,11316,742,373,12431
S1176,LR-22691,MetroCargo Logistics,MH12FF5849,Kiran,Pune,Nashik,2024-02-08,Plastic Granules,120,4365.05,4481.31,26110,453,752,27315
S1177,LR-79768,ABC_Logistics,MH12DE1461,Ganesh,Pune,Amravati,2024-02-10,Machinery,57,1424.23,1444.8,8465,446,641,9552
S1178,LR-97289,ABC_Logistics,MH12BE7457,Amit,Nagpur,Pune,2024-01-21,Pharmaceuticals,120,4242.31,4252.35,22074,721,685,23480
S1179,LR-24403,UrbanMove Logistics,MH12AG3876,Rahul,Mumbai,Nashik,2024-02-27,Plastic Granules,107,4094.9,4234.6,17337,757,316,18410
S1180,LR-52988,RapidHaul Logistics,MH12DH5180,Sandeep,Nanded,Gondia,2024-03-08,Electronics,120,4908.37,5030.34,22467,425,577,23469
S1181,LR-56329,FastCargo,MH12DB2826,Deepak,Pune,Mumbai,2024-03-02,Machinery,120,4514.39,4602.49,28360,523,656,29539
S1182,LR-43153,ABC_Logistics,MH12EG6747,Rakesh,Bhandara,Nagpur,2024-03-04,Food Products,63,1604.79,1613.79,6952,463,260,7675
S1183,LR-89962,ExpressHaul Pvt Ltd,MH12CA5939,Mukesh,Nagpur,Pune,2024-02-09,Machinery,115,3879.88,3988.82,25403,695,428,26526
S1184,LR-51142,UrbanMove Logistics,MH12FA5951,Kiran,Nagpur,Parbhani,2024-01-21,Pharmaceuticals,113,2842.66,2941.53,19844,717,799,21360
S1185,LR-23264,UrbanMove Logistics,MH12CG9883,Rahul,Pune,Mumbai,2024-02-19,Electronics,115,3096.22,3108.15,16173,553,374,17100
S1186,LR-51458,ABC_Logistics,MH12HB8847,Rahul,Wardha,Sangli,2024-02-16,Chemical Drums,33,977.26,978.01,4468,276,664,5408
S1187,LR-66764,BlueLine Transport,MH12HG4622,Shankar,Aurangabad,Kolhapur,2024-01-02,Textiles,47,1982.13,2285.21,12605,360,237,13202
S1188,LR-98817,UrbanMove Logistics,MH12GG1229,Arun,Sangli,Mumbai,2024-03-02,Chemical Drums,115,3953.2,3986.11,20314,795,539,21648
S1189,LR-39068,FastCargo,MH12GF2442,Shankar,Satara,Bhandara,2024-02-13,Construction Material,44,1096.61,1107.43,5139,384,374,5897
S1190,LR-99740,FastCargo,MH12AD2728,Vinod,Beed,Satara,2024-02-12,Pharmaceuticals,120,4878.11,4927.75,23010,423,595,24028
S1191,LR-81406,FastCargo,MH12ED5399,Dinesh,Mumbai,Nashik,2024-02-25,Pharmaceuticals,49,907.48,1362.91,4883,636,543,6062
S1192,LR-41235,UrbanMove Logistics,MH12BH9717,Vinod,Pune,Mumbai,2024-01-04,Chemical Drums,84,1923.63,2038.39,12458,541,480,13479
S1193,LR-66191,RapidHaul Logistics,MH12HE1665,Manoj,Beed,Satara,2024-01-10,Pharmaceuticals,120,4080.64,4094.41,17854,321,541,18716
S1194,LR-80372,PrimeRoute Carriers,MH12FG9563,Amit,Pune,Nashik,2024-01-08,Electronics,120,4457.97,4954.69,18335,465,698,19498
S1195,LR-72151,UrbanMove Logistics,MH12GF3707,Deepak,Osmanabad,Pune,2024-01-16,Machinery,42,1129.71,1205.55,5347,406,411,6164
S1196,LR-17217,MetroCargo Logistics,MH12BA7421,Suresh,Ratnagiri,Osmanabad,2024-01-24,Food Products,120,4928.43,4943.73,32576,249,676,33501
S1197,LR-55372,PrimeRoute Carriers,MH12GE8267,Deepak,Mumbai,Nashik,2024-01-06,Automotive Parts,120,4485.6,4529.16,22977,537,415,23929
S1198,LR-16567,PrimeRoute Carriers,MH12EE9168,Mahesh,Sindhudurg,Kolhapur,2024-01-30,Steel Coils,74,2505.68,2586.87,12028,760,290,13078
S1199,LR-73586,PrimeRoute Carriers,MH12FC4213,Sachin,Chandrapur,Akola,2024-01-30,Machinery,113,2076.93,2116.49,8752,777,742,10271
S1200,LR-86792,ExpressHaul Pvt Ltd,MH12BH7341,Ramesh,Pune,Mumbai,2024-02-04,Construction Material,101,3365.45,3498.01,18888,518,761,20167
S1201,LR-51345,RapidHaul Logistics,MH12FE2964,Suresh,Latur,Beed,2024-02-19,Steel Coils,110,4660.79,4769.07,31263,561,418,32242
S1202,LR-56192,ABC_Logistics,MH12HG9754,Santosh,Mumbai,Pune,2024-03-07,Consumer Goods,101,3085.8,3153.8,19032,453,635,20120
S1203,LR-22066,MetroCargo Logistics,MH12AB5061,Vijay,Mumbai,Pune,2024-01-15,Food Products,46,1410.25,1513.67,7012,504,301,7817
S1204,LR-85839,ABC_Logistics,MH12FA3510,Balaji,Chandrapur,Gondia,2024-03-08,Electronics,32,960.39,1021.55,5632,555,425,6612
S1205,LR-69624,UrbanMove Logistics,MH12BA8220,Rajesh,Mumbai,Aurangabad,2024-03-11,Chemical Drums,120,4135.95,4181.67,18365,467,617,19449
S1206,LR-55842,BlueLine Transport,MH12BH2258,Kiran,Pune,Kolhapur,2024-02-09,Textiles,120,2365.23,2455.98,11779,412,225,12416
S1207,LR-56176,BlueLine Transport,MH12GB4034,Naresh,Pune,Kolhapur,2024-01-26,Electronics,90,2561.4,2664.44,12107,429,392,12928
S1208,LR-32349,RapidHaul Logistics,MH12DB3472,Ramesh,Gondia,Ratnagiri,2024-02-05,Steel Coils,116,3686.5,3782.41,17511,594,535,18640
S1209,LR-25669,MetroCargo Logistics,MH12BH3360,Sunil,Kolhapur,Bhandara,2024-02-12,Automotive Parts,62,1066.27,1102.51,4447,512,555,5514
S1210,LR-96752,BlueLine Transport,MH12GB1539,Arun,Kolhapur,Chandrapur,2024-01-15,Automotive Parts,59,1257.43,1287.91,9054,399,419,9872
S1211,LR-94806,ExpressHaul Pvt Ltd,MH12HC7693,Balaji,Nashik,Mumbai,2024-03-04,Plastic Granules,78,2755.98,2779.64,17165,518,420,18103
S1212,LR-63728,BlueLine Transport,MH12FD6762,Ravi,Beed,Ratnagiri,2024-01-23,Machinery,117,3576.0,3721.7,14694,225,780,15699
S1213,LR-94132,RapidHaul Logistics,MH12HD8077,Mahesh,Akola,Nagpur,2024-03-02,Construction Material,25,1103.3,1161.32,5592,677,682,6951
S1214,LR-32606,RapidHaul Logistics,MH12AF6466,Mahendra,Pune,Kolhapur,2024-01-06,Construction Material,120,3952.09,4095.18,21489,662,329,22480
S1215,LR-79985,PrimeRoute Carriers,MH12BB3377,Kiran,Mumbai,Aurangabad,2024-01-11,Textiles,120,3681.5,3822.25,23674,205,254,24133
S1216,LR-97186,FastCargo,MH12ED8430,Sanjay,Dhule,Osmanabad,2024-01-10,Pharmaceuticals,66,2409.85,2687.95,15044,753,492,16289
S1217,LR-92343,ExpressHaul Pvt Ltd,MH12GH9074,Ashok,Yavatmal,Sangli,2024-01-18,Steel Coils,88,2753.34,2801.55,19275,209,592,20076
S1218,LR-82913,FastCargo,MH12FE4326,Ravi,Nanded,Beed,2024-02-01,Automotive Parts,120,2535.58,2620.52,11939,320,543,12802
S1219,LR-30261,RapidHaul Logistics,MH12DE4185,Amit,Sangli,Mumbai,2024-03-11,Food Products,116,4139.17,4238.51,24756,697,483,25936
S1220,LR-40606,FastCargo,MH12HC8958,Anil,Nagpur,Pune,2024-03-01,Construction Material,49,1507.63,1531.55,9473,646,715,10834
S1221,LR-38831,ABC_Logistics,MH12DG7629,Sunil,Ratnagiri,Sindhudurg,2024-01-07,Pharmaceuticals,40,971.41,1026.34,5307,461,795,6563
S1222,LR-27519,BlueLine Transport,MH12FC6136,Rakesh,Mumbai,Nashik,2024-01-18,Chemical Drums,120,4584.79,4646.97,25801,254,212,26267
S1223,LR-98942,BlueLine Transport,MH12HA8223,Vijay,Pune,Kolhapur,2024-02-27,Chemical Drums,88,3727.65,4050.48,21888,412,648,22948
S1224,LR-99707,UrbanMove Logistics,MH12BA6547,Ashok,Pune,Nashik,2024-01-08,Consumer Goods,84,2903.31,3002.15,16064,313,506,16883
S1225,LR-49366,FastCargo,MH12CF4012,Sandeep,Pune,Mumbai,2024-01-21,Automotive Parts,107,3603.67,3736.08,16676,467,268,17411
S1226,LR-20193,BlueLine Transport,MH12DC1569,Amit,Pune,Mumbai,2024-01-30,Machinery,120,2789.0,2893.25,16912,517,522,17951
S1227,LR-65033,FastCargo,MH12BC3408,Amit,Pune,Nashik,2024-02-25,Chemical Drums,120,4634.45,4641.06,23025,645,206,23876
S1228,LR-42235,BlueLine Transport,MH12GC5705,Rajesh,Mumbai,Aurangabad,2024-02-01,Plastic Granules,120,3355.6,3447.82,14146,245,415,14806
S1229,LR-28728,FastCargo,MH12GA5450,Suresh,Satara,Chandrapur,2024-03-01,Steel Coils,120,4384.75,4524.01,23714,534,669,24917
S1230,LR-74202,FastCargo,MH12DE4448,Sachin,Mumbai,Aurangabad,2024-01-11,Plastic Granules,120,4833.18,4917.07,20757,468,625,21850
S1231,LR-48015,BlueLine Transport,MH12AA5488,Vijay,Pune,Mumbai,2024-01-27,Food Products,120,3827.17,3854.44,16094,759,719,17572
S1232,LR-54834,RapidHaul Logistics,MH12FE5839,Sunil,Nagpur,Pune,2024-01-13,Chemical Drums,120,2675.35,2789.66,17727,746,437,18910
S1233,LR-47644,ABC_Logistics,MH12GC8988,Rajesh,Pune,Mumbai,2024-02-03,Machinery,120,4680.97,4756.95,32568,499,615,33682
S1234,LR-47005,ABC_Logistics,MH12DG1312,Manoj,Mumbai,Kolhapur,2024-02-08,Steel Coils,40,1241.57,1320.35,6797,310,344,7451
S1235,LR-30087,BlueLine Transport,MH12EE4355,Suresh,Pune,Kolhapur,2024-01-21,Pharmaceuticals,119,3194.81,3308.44,14587,795,404,15786
S1236,LR-66420,ABC_Logistics,MH12GC9570,Mahendra,Pune,Kolhapur,2024-02-05,Plastic Granules,47,896.51,953.91,4208,229,630,5067
S1237,LR-63468,BlueLine Transport,MH12ED3679,Rahul,Jalgaon,Bhandara,2024-01-17,Pharmaceuticals,111,2609.07,3133.26,13139,553,522,14214
S1238,LR-53983,ABC_Logistics,MH12DE2908,Ramesh,Amravati,Dhule,2024-01-18,Machinery,120,3786.29,3892.16,16100,532,678,17310
S1239,LR-66573,ABC_Logistics,MH12AC1205,Ramesh,Solapur,Jalgaon,2024-02-02,Consumer Goods,120,2810.74,2902.26,12018,512,570,13100
S1240,LR-39037,ABC_Logistics,MH12AA8513,Deepak,Mumbai,Nashik,2024-01-06,Steel Coils,120,4837.44,4922.81,20857,696,522,22075
S1241,LR-71134,MetroCargo Logistics,MH12AB2570,Anil,Mumbai,Nashik,2024-02-25,Food Products,120,4001.89,4034.16,24684,708,567,25959
S1242,LR-86247,ABC_Logistics,MH12HD2382,Ganesh,Nagpur,Pune,2024-02-16,Steel Coils,23,879.08,947.49,6090,263,633,6986
S1243,LR-91280,ABC_Logistics,MH12CE6645,Rajesh,Pune,Nashik,2024-01-24,Chemical Drums,120,4659.56,4685.69,23498,375,638,24511
S1244,LR-43479,FastCargo,MH12DB6310,Rajesh,Mumbai,Pune,2024-02-10,Machinery,76,2016.55,2025.97,8420,553,310,9283
S1245,LR-11272,FastCargo,MH12HH8065,Santosh,Pune,Kolhapur,2024-01-09,Plastic Granules,100,3917.81,3975.47,26493,594,467,27554
S1246,LR-27874,RapidHaul Logistics,MH12EB9990,Sanjay,Mumbai,Nashik,2024-02-08,Plastic Granules,86,1920.88,2006.05,12428,472,570,13470
S1247,LR-85177,MetroCargo Logistics,MH12GE8824,Kiran,Osmanabad,Kolhapur,2024-03-04,Textiles,120,3540.54,3543.72,20968,436,580,21984
S1248,LR-10007,MetroCargo Logistics,MH12HB4192,Sandeep,Satara,Chandrapur,2024-03-09,Automotive Parts,100,3771.78,3812.26,21123,674,706,22503
S1249,LR-81686,ABC_Logistics,MH12CG1563,Ramesh,Nashik,Mumbai,2024-01-31,Chemical Drums,31,1126.42,1177.65,6472,500,445,7417
